Service_Name,Date,Price
AppleTV,Nov-19,4.99
AppleTV,Dec-19,4.99
AppleTV,Jan-20,4.99
AppleTV,Feb-20,4.99
AppleTV,Mar-20,4.99
AppleTV,Apr-20,4.99
AppleTV,May-20,4.99
AppleTV,Jun-20,4.99
AppleTV,Jul-20,4.99
AppleTV,Aug-20,4.99
AppleTV,Sep-20,4.99
AppleTV,Oct-20,4.99
AppleTV,Nov-20,4.99
AppleTV,Dec-20,4.99
AppleTV,Jan-21,4.99
AppleTV,Feb-21,4.99
AppleTV,Mar-21,4.99
AppleTV,Apr-21,4.99
AppleTV,May-21,4.99
AppleTV,Jun-21,4.99
AppleTV,Jul-21,4.99
AppleTV,Aug-21,4.99
AppleTV,Sep-21,4.99
AppleTV,Oct-21,4.99
AppleTV,Nov-21,4.99
AppleTV,Dec-21,4.99
AppleTV,Jan-22,4.99
AppleTV,Feb-22,4.99
AppleTV,Mar-22,4.99
AppleTV,Apr-22,4.99
AppleTV,May-22,4.99
AppleTV,Jun-22,4.99
AppleTV,Jul-22,4.99
AppleTV,Aug-22,4.99
AppleTV,Sep-22,4.99
AppleTV,Oct-22,6.99
AppleTV,Nov-22,6.99
AppleTV,Dec-22,6.99
AppleTV,Jan-23,6.99
AppleTV,Feb-23,6.99
AppleTV,Mar-23,6.99
AppleTV,Apr-23,6.99
AppleTV,May-23,6.99
AppleTV,Jun-23,6.99
AppleTV,Jul-23,6.99
AppleTV,Aug-23,6.99
AppleTV,Sep-23,6.99
AppleTV,Oct-23,9.99
AppleTV,Nov-23,9.99
AppleTV,Dec-23,9.99
AppleTV,Jan-24,9.99
AppleTV,Feb-24,9.99
AppleTV,Mar-24,9.99
AppleTV,Apr-24,9.99
AppleTV,May-24,9.99
AppleTV,Jun-24,9.99
AppleTV,Jul-24,9.99
AppleTV,Aug-24,9.99
AppleTV,Sep-24,9.99
AppleTV,Oct-24,9.99
AppleTV,Nov-24,9.99
AppleTV,Dec-24,9.99
AppleTV,Jan-25,9.99
AppleTV,Feb-25,9.99
Hulu,Nov-19,5.99
Hulu,Dec-19,5.99
Hulu,Jan-20,5.99
Hulu,Feb-20,5.99
Hulu,Mar-20,5.99
Hulu,Apr-20,5.99
Hulu,May-20,5.99
Hulu,Jun-20,5.99
Hulu,Jul-20,5.99
Hulu,Aug-20,5.99
Hulu,Sep-20,5.99
Hulu,Oct-20,5.99
Hulu,Nov-20,5.99
Hulu,Dec-20,5.99
Hulu,Jan-21,5.99
Hulu,Feb-21,5.99
Hulu,Mar-21,5.99
Hulu,Apr-21,5.99
Hulu,May-21,5.99
Hulu,Jun-21,5.99
Hulu,Jul-21,5.99
Hulu,Aug-21,5.99
Hulu,Sep-21,5.99
Hulu,Oct-21,6.99
Hulu,Nov-21,6.99
Hulu,Dec-21,6.99
Hulu,Jan-22,6.99
Hulu,Feb-22,6.99
Hulu,Mar-22,6.99
Hulu,Apr-22,6.99
Hulu,May-22,6.99
Hulu,Jun-22,6.99
Hulu,Jul-22,6.99
Hulu,Aug-22,6.99
Hulu,Sep-22,6.99
Hulu,Oct-22,7.99
Hulu,Nov-22,7.99
Hulu,Dec-22,7.99
Hulu,Jan-23,7.99
Hulu,Feb-23,7.99
Hulu,Mar-23,7.99
Hulu,Apr-23,7.99
Hulu,May-23,7.99
Hulu,Jun-23,7.99
Hulu,Jul-23,7.99
Hulu,Aug-23,7.99
Hulu,Sep-23,7.99
Hulu,Oct-23,7.99
Hulu,Nov-23,7.99
Hulu,Dec-23,7.99
Hulu,Jan-24,7.99
Hulu,Feb-24,7.99
Hulu,Mar-24,7.99
Hulu,Apr-24,7.99
Hulu,May-24,7.99
Hulu,Jun-24,7.99
Hulu,Jul-24,7.99
Hulu,Aug-24,7.99
Hulu,Sep-24,7.99
Hulu,Oct-24,9.99
Hulu,Nov-24,9.99
Hulu,Dec-24,9.99
Hulu,Jan-25,9.99
Hulu,Feb-25,9.99
Netflix,Nov-19,8.99
Netflix,Dec-19,8.99
Netflix,Jan-20,8.99
Netflix,Feb-20,8.99
Netflix,Mar-20,8.99
Netflix,Apr-20,8.99
Netflix,May-20,8.99
Netflix,Jun-20,8.99
Netflix,Jul-20,8.99
Netflix,Aug-20,8.99
Netflix,Sep-20,8.99
Netflix,Oct-20,8.99
Netflix,Nov-20,8.99
Netflix,Dec-20,8.99
Netflix,Jan-21,8.99
Netflix,Feb-21,8.99
Netflix,Mar-21,8.99
Netflix,Apr-21,8.99
Netflix,May-21,8.99
Netflix,Jun-21,8.99
Netflix,Jul-21,8.99
Netflix,Aug-21,8.99
Netflix,Sep-21,8.99
Netflix,Oct-21,8.99
Netflix,Nov-21,8.99
Netflix,Dec-21,8.99
Netflix,Jan-22,9.99
Netflix,Feb-22,9.99
Netflix,Mar-22,9.99
Netflix,Apr-22,9.99
Netflix,May-22,9.99
Netflix,Jun-22,9.99
Netflix,Jul-22,9.99
Netflix,Aug-22,9.99
Netflix,Sep-22,9.99
Netflix,Oct-22,9.99
Netflix,Nov-22,6.99
Netflix,Dec-22,6.99
Netflix,Jan-23,6.99
Netflix,Feb-23,6.99
Netflix,Mar-23,6.99
Netflix,Apr-23,6.99
Netflix,May-23,6.99
Netflix,Jun-23,6.99
Netflix,Jul-23,6.99
Netflix,Aug-23,6.99
Netflix,Sep-23,6.99
Netflix,Oct-23,6.99
Netflix,Nov-23,6.99
Netflix,Dec-23,6.99
Netflix,Jan-24,6.99
Netflix,Feb-24,6.99
Netflix,Mar-24,6.99
Netflix,Apr-24,6.99
Netflix,May-24,6.99
Netflix,Jun-24,6.99
Netflix,Jul-24,6.99
Netflix,Aug-24,6.99
Netflix,Sep-24,6.99
Netflix,Oct-24,6.99
Netflix,Nov-24,6.99
Netflix,Dec-24,6.99
Netflix,Jan-25,6.99
Netflix,Feb-25,6.99
Prime,Nov-19,8.99
Prime,Dec-19,8.99
Prime,Jan-20,8.99
Prime,Feb-20,8.99
Prime,Mar-20,8.99
Prime,Apr-20,8.99
Prime,May-20,8.99
Prime,Jun-20,8.99
Prime,Jul-20,8.99
Prime,Aug-20,8.99
Prime,Sep-20,8.99
Prime,Oct-20,8.99
Prime,Nov-20,8.99
Prime,Dec-20,8.99
Prime,Jan-21,8.99
Prime,Feb-21,8.99
Prime,Mar-21,8.99
Prime,Apr-21,8.99
Prime,May-21,8.99
Prime,Jun-21,8.99
Prime,Jul-21,8.99
Prime,Aug-21,8.99
Prime,Sep-21,8.99
Prime,Oct-21,8.99
Prime,Nov-21,8.99
Prime,Dec-21,8.99
Prime,Jan-22,12.99
Prime,Feb-22,12.99
Prime,Mar-22,14.99
Prime,Apr-22,14.99
Prime,May-22,14.99
Prime,Jun-22,14.99
Prime,Jul-22,14.99
Prime,Aug-22,14.99
Prime,Sep-22,14.99
Prime,Oct-22,14.99
Prime,Nov-22,14.99
Prime,Dec-22,14.99
Prime,Jan-23,14.99
Prime,Feb-23,14.99
Prime,Mar-23,14.99
Prime,Apr-23,14.99
Prime,May-23,14.99
Prime,Jun-23,14.99
Prime,Jul-23,14.99
Prime,Aug-23,14.99
Prime,Sep-23,14.99
Prime,Oct-23,14.99
Prime,Nov-23,14.99
Prime,Dec-23,14.99
Prime,Jan-24,14.99
Prime,Feb-24,14.99
Prime,Mar-24,14.99
Prime,Apr-24,14.99
Prime,May-24,14.99
Prime,Jun-24,14.99
Prime,Jul-24,14.99
Prime,Aug-24,14.99
Prime,Sep-24,14.99
Prime,Oct-24,14.99
Prime,Nov-24,14.99
Prime,Dec-24,14.99
Prime,Jan-25,14.99
Prime,Feb-25,14.99
